Date,Time,COGT,NO2GT,RH
09 Jun 04,10800,0,-200,50.5
09 Jun 04,14400,0,51,54.4
09 Jun 04,18000,0,58,56
09 Jun 04,21600,1,69,54.8
09 Jun 04,25200,4,107,50.6
09 Jun 04,28800,6,151,46.1
09 Jun 04,32400,3,146,43
09 Jun 04,36000,3,165,32.8
09 Jun 04,39600,3,159,25.9
09 Jun 04,43200,3,174,23.2
09 Jun 04,46800,3,167,18.3
09 Jun 04,50400,2,137,15.3
09 Jun 04,54000,2,116,16.1
09 Jun 04,57600,2,125,14.2
09 Jun 04,61200,4,194,16.7
09 Jun 04,64800,5,222,23.4
09 Jun 04,68400,5,206,27.7
09 Jun 04,72000,3,162,32.2
09 Jun 04,75600,3,132,35.7
09 Jun 04,79200,2,107,38.6
09 Jun 04,82800,2,84,40.1
10 Jun 04,0,1,61,43.3
10 Jun 04,3600,1,42,45.6
10 Jun 04,7200,1,66,52.8
10 Jun 04,10800,1,-200,56.1
10 Jun 04,18000,1,76,59.4
10 Jun 04,21600,1,78,56.6
10 Jun 04,25200,3,104,53.9
10 Jun 04,28800,5,139,49
10 Jun 04,32400,4,166,44.3
10 Jun 04,36000,3,151,34.3
10 Jun 04,39600,2,134,27.2
10 Jun 04,43200,3,148,26.1
10 Jun 04,46800,2,126,23.2
10 Jun 04,50400,3,144,18.7
10 Jun 04,54000,2,133,17.2
10 Jun 04,57600,2,139,18.8
10 Jun 04,61200,4,178,18.8
10 Jun 04,64800,5,206,22.1
10 Jun 04,68400,5,211,25.9
10 Jun 04,72000,5,180,28.2
10 Jun 04,75600,2,116,32.6
10 Jun 04,79200,2,118,34.3
10 Jun 04,82800,3,115,34.1
11 Jun 04,0,2,96,39.3
11 Jun 04,3600,1,86,39.5
11 Jun 04,7200,1,65,37.8
11 Jun 04,10800,0,-200,43.8
11 Jun 04,14400,0,53,44.2
11 Jun 04,18000,1,74,51.4
11 Jun 04,21600,1,69,50.4
11 Jun 04,25200,5,131,48.2
11 Jun 04,28800,5,134,42.7
11 Jun 04,32400,4,148,35.8
11 Jun 04,39600,2,-200,21
11 Jun 04,43200,2,111,19.6
11 Jun 04,46800,2,110,18.2
11 Jun 04,50400,2,110,16.6
11 Jun 04,54000,2,116,14.9
11 Jun 04,57600,2,120,15.1
11 Jun 04,61200,3,142,14.7
11 Jun 04,64800,3,146,14.2
11 Jun 04,68400,3,153,18.7
11 Jun 04,72000,3,158,22
11 Jun 04,75600,3,140,22.5
11 Jun 04,79200,3,127,24.6
11 Jun 04,82800,1,97,27.2
12 Jun 04,0,1,91,32.2
12 Jun 04,3600,1,68,32.7
12 Jun 04,7200,1,52,32
12 Jun 04,10800,0,-200,34.8
12 Jun 04,14400,0,58,40.2
12 Jun 04,18000,1,78,46.6
12 Jun 04,21600,1,61,46
12 Jun 04,25200,1,64,42.3
12 Jun 04,28800,1,81,41.8
12 Jun 04,32400,2,92,36.6
12 Jun 04,36000,2,101,30.7
12 Jun 04,39600,2,96,23.6
12 Jun 04,43200,2,101,25.8
12 Jun 04,46800,2,91,21.8
12 Jun 04,50400,1,68,20.5
12 Jun 04,54000,1,76,20.1
12 Jun 04,57600,1,84,21
12 Jun 04,61200,1,76,22.6
12 Jun 04,64800,1,61,27.6
12 Jun 04,68400,1,52,35.1
12 Jun 04,72000,1,59,39.7
12 Jun 04,75600,2,89,42.2
12 Jun 04,79200,2,113,43.8
12 Jun 04,82800,3,112,45.6
13 Jun 04,0,2,89,45.2
13 Jun 04,3600,1,53,45.5
13 Jun 04,7200,1,36,43.6
13 Jun 04,10800,1,-200,48.2
13 Jun 04,14400,0,39,48.2
13 Jun 04,18000,0,33,51
13 Jun 04,21600,0,37,48.1
13 Jun 04,25200,0,36,47.8
13 Jun 04,28800,0,42,46.8
13 Jun 04,32400,0,52,40.7
13 Jun 04,36000,1,60,35.2
13 Jun 04,39600,1,74,38.3
13 Jun 04,43200,1,65,29.6
13 Jun 04,46800,1,52,34.9
13 Jun 04,50400,0,40,35.2
13 Jun 04,54000,1,49,39
13 Jun 04,57600,1,56,41.7
13 Jun 04,61200,1,59,42.7
13 Jun 04,64800,1,68,43.4
13 Jun 04,68400,1,72,42.6
13 Jun 04,72000,1,78,44.1
13 Jun 04,75600,1,71,45.2
13 Jun 04,79200,1,54,45.7
13 Jun 04,82800,1,57,45.3
14 Jun 04,0,1,45,45.9
14 Jun 04,3600,0,30,44.8
14 Jun 04,7200,0,16,46.3
14 Jun 04,10800,0,-200,49
14 Jun 04,18000,0,28,52.7
14 Jun 04,21600,1,62,49.3
14 Jun 04,25200,2,92,46.2
14 Jun 04,28800,2,96,44.5
14 Jun 04,32400,1,87,43.6
14 Jun 04,36000,2,84,39.1
14 Jun 04,39600,1,73,42.1
14 Jun 04,43200,1,72,38.3
14 Jun 04,46800,1,68,39.2
14 Jun 04,50400,1,62,37
14 Jun 04,54000,1,70,38.4
14 Jun 04,57600,2,83,39.9
14 Jun 04,61200,3,92,39.2
14 Jun 04,64800,2,103,41.2
14 Jun 04,68400,2,82,44.9
14 Jun 04,72000,1,74,46.5
14 Jun 04,75600,1,67,44.9
14 Jun 04,79200,1,74,44.1
14 Jun 04,82800,1,72,45.6
15 Jun 04,0,1,79,46
15 Jun 04,3600,1,43,45.8
15 Jun 04,7200,0,33,48.3
15 Jun 04,10800,0,-200,47.1
15 Jun 04,14400,0,38,48.5
15 Jun 04,18000,0,51,49.4
15 Jun 04,21600,1,69,51.8
15 Jun 04,25200,4,116,49.2
15 Jun 04,28800,4,119,39.9
15 Jun 04,32400,2,96,35.8
15 Jun 04,36000,2,109,29.1
15 Jun 04,39600,3,115,26.9
15 Jun 04,43200,3,118,23.3
15 Jun 04,46800,2,118,21.4
15 Jun 04,50400,2,112,19.6
15 Jun 04,54000,3,140,20.8
15 Jun 04,57600,3,137,18.8
15 Jun 04,61200,3,143,24.1
15 Jun 04,64800,3,148,28.7
15 Jun 04,68400,4,158,31.2
15 Jun 04,72000,3,127,35.1
15 Jun 04,75600,2,109,39.4
15 Jun 04,79200,2,101,40.9
15 Jun 04,82800,2,114,44.4
16 Jun 04,0,2,104,53.9
16 Jun 04,3600,1,81,59.8
16 Jun 04,7200,1,51,58.1
16 Jun 04,10800,1,-200,58.4
16 Jun 04,14400,1,40,58.9
16 Jun 04,18000,0,34,54.5
16 Jun 04,21600,1,61,57.4
16 Jun 04,25200,3,95,56.9
16 Jun 04,28800,5,142,52.4
16 Jun 04,32400,3,128,46.5
16 Jun 04,36000,2,115,38.8
16 Jun 04,39600,2,84,34.4
16 Jun 04,43200,2,85,30.9
16 Jun 04,46800,2,110,25.8
16 Jun 04,50400,2,107,25.7
16 Jun 04,54000,2,107,24.4
16 Jun 04,57600,2,113,26
16 Jun 04,61200,3,107,23.7
16 Jun 04,64800,2,106,25.4
16 Jun 04,68400,3,125,31.7
16 Jun 04,72000,4,139,35
16 Jun 04,75600,2,117,40
16 Jun 04,79200,2,107,43.4
16 Jun 04,82800,2,98,45.3
17 Jun 04,0,2,97,47.8
17 Jun 04,3600,2,95,51
17 Jun 04,7200,1,68,51.7
17 Jun 04,10800,1,-200,57.1
17 Jun 04,18000,0,44,53.8
17 Jun 04,21600,1,77,60.8
17 Jun 04,25200,4,100,54.5
17 Jun 04,28800,5,125,49.9
17 Jun 04,32400,4,154,43
17 Jun 04,36000,2,125,36.6
17 Jun 04,39600,2,117,38.3
17 Jun 04,43200,2,105,37
17 Jun 04,46800,2,103,32.9
17 Jun 04,50400,2,106,28.7
17 Jun 04,54000,2,107,28.7
17 Jun 04,57600,2,102,30.3
17 Jun 04,61200,3,124,30.3
17 Jun 04,64800,4,133,31.4
17 Jun 04,68400,3,125,33.4
17 Jun 04,72000,3,124,37.5
17 Jun 04,75600,2,97,40.9
17 Jun 04,79200,2,94,43
17 Jun 04,82800,3,120,45.8
18 Jun 04,0,2,105,47.3
18 Jun 04,3600,1,81,48.3
18 Jun 04,7200,0,43,45.8
18 Jun 04,10800,0,-200,50.7
18 Jun 04,14400,0,32,48.1
18 Jun 04,18000,0,36,50.1
18 Jun 04,21600,1,59,54.1
18 Jun 04,25200,2,92,52.6
18 Jun 04,28800,4,121,47.9
18 Jun 04,32400,4,151,42.9
18 Jun 04,36000,2,142,34.8
18 Jun 04,39600,2,141,27.8
18 Jun 04,43200,2,129,24.9
18 Jun 04,46800,2,106,22.7
18 Jun 04,50400,2,125,21.1
18 Jun 04,54000,2,126,21.9
18 Jun 04,57600,2,147,21.6
18 Jun 04,61200,3,180,23.4
18 Jun 04,64800,3,164,24.3
18 Jun 04,68400,4,180,29.5
18 Jun 04,72000,3,153,35.8
18 Jun 04,75600,2,105,42.2
18 Jun 04,79200,2,98,46.6
18 Jun 04,82800,2,107,47.7
19 Jun 04,0,2,87,47.4
19 Jun 04,3600,1,80,49.9
19 Jun 04,7200,1,62,47.2
19 Jun 04,10800,1,-200,50.2
19 Jun 04,14400,1,54,55
19 Jun 04,18000,0,56,52.6
19 Jun 04,21600,0,62,48.9
19 Jun 04,25200,1,72,47.6
19 Jun 04,28800,1,86,44.9
19 Jun 04,32400,2,99,39.9
19 Jun 04,36000,2,98,35.9
19 Jun 04,39600,2,102,32.4
19 Jun 04,43200,2,84,26.6
19 Jun 04,46800,2,83,22.1
19 Jun 04,50400,1,68,-200
19 Jun 04,54000,1,63,-200
19 Jun 04,57600,1,65,-200
19 Jun 04,61200,1,63,-200
19 Jun 04,64800,1,56,-200
19 Jun 04,68400,2,77,-200
19 Jun 04,72000,2,91,-200
19 Jun 04,75600,1,70,-200
19 Jun 04,79200,2,95,-200
19 Jun 04,82800,2,113,-200
20 Jun 04,0,2,109,-200
20 Jun 04,3600,1,65,-200
20 Jun 04,7200,1,60,-200
20 Jun 04,10800,1,-200,-200
20 Jun 04,18000,1,60,-200
20 Jun 04,21600,1,65,-200
20 Jun 04,25200,1,55,-200
20 Jun 04,28800,1,66,-200
20 Jun 04,32400,1,67,-200
20 Jun 04,36000,1,64,-200
20 Jun 04,39600,1,59,-200
20 Jun 04,43200,1,59,-200
20 Jun 04,46800,1,36,-200
20 Jun 04,50400,1,35,-200
20 Jun 04,54000,1,54,-200
20 Jun 04,57600,1,71,-200
20 Jun 04,61200,1,86,-200
20 Jun 04,64800,3,114,-200
20 Jun 04,68400,2,105,-200
20 Jun 04,72000,2,87,-200
20 Jun 04,75600,1,85,-200
20 Jun 04,79200,2,91,-200
20 Jun 04,82800,4,108,-200
21 Jun 04,0,3,99,-200
21 Jun 04,3600,2,83,-200
21 Jun 04,7200,1,36,-200
21 Jun 04,10800,0,-200,-200
21 Jun 04,14400,0,24,55.2
21 Jun 04,18000,0,43,57.6
21 Jun 04,21600,1,64,56
21 Jun 04,25200,2,91,48
21 Jun 04,28800,4,109,38.6
21 Jun 04,32400,2,110,32.4
21 Jun 04,36000,2,111,25.8
21 Jun 04,39600,2,106,21
21 Jun 04,43200,2,104,18
21 Jun 04,46800,1,76,18.5
21 Jun 04,50400,1,84,19.4
21 Jun 04,54000,2,102,18.2
21 Jun 04,57600,2,102,19
21 Jun 04,61200,2,124,19.3
21 Jun 04,64800,3,147,22.3
21 Jun 04,68400,3,138,28.3
21 Jun 04,72000,3,126,35.7
21 Jun 04,75600,2,112,41.5
21 Jun 04,79200,2,95,46.2
21 Jun 04,82800,1,80,48.9
22 Jun 04,0,1,79,49.9
22 Jun 04,3600,1,49,50.9
22 Jun 04,7200,0,36,44.3
22 Jun 04,10800,0,-200,47.5
22 Jun 04,14400,0,40,50.2
22 Jun 04,18000,0,37,52.8
22 Jun 04,21600,1,67,56.5
22 Jun 04,25200,3,106,55.8
22 Jun 04,28800,5,134,47.7
22 Jun 04,32400,3,123,41.9
22 Jun 04,36000,3,136,31.7
22 Jun 04,39600,2,109,26.4
22 Jun 04,43200,3,144,26.2
22 Jun 04,46800,3,154,25.3
22 Jun 04,50400,2,126,26.7
22 Jun 04,54000,2,98,25.6
22 Jun 04,57600,2,120,22.9
22 Jun 04,61200,4,145,23.5
22 Jun 04,64800,4,139,25.9
22 Jun 04,68400,4,148,30.4
22 Jun 04,72000,4,139,33.6
22 Jun 04,75600,2,93,36.4
22 Jun 04,79200,2,96,39.6
22 Jun 04,82800,2,104,39.6
23 Jun 04,0,1,83,43.6
23 Jun 04,3600,1,66,43.9
23 Jun 04,7200,0,55,47.2
23 Jun 04,10800,0,-200,47.3
23 Jun 04,18000,0,40,46.8
23 Jun 04,21600,1,51,52.3
23 Jun 04,25200,4,117,52.3
23 Jun 04,28800,3,110,49.6
23 Jun 04,32400,4,136,43.1
23 Jun 04,36000,3,152,31.7
23 Jun 04,39600,2,119,25.1
23 Jun 04,43200,2,106,20.5
23 Jun 04,46800,2,101,19.9
23 Jun 04,50400,2,110,22.5
23 Jun 04,54000,2,124,22.8
23 Jun 04,57600,2,137,22.4
23 Jun 04,61200,4,159,25.3
23 Jun 04,64800,4,152,27.3
23 Jun 04,68400,4,166,29
23 Jun 04,72000,5,163,33.3
23 Jun 04,75600,2,121,35.3
23 Jun 04,79200,3,125,37.8
23 Jun 04,82800,3,120,47.1
24 Jun 04,0,3,103,59.8
24 Jun 04,3600,2,64,60.5
24 Jun 04,7200,1,44,59.4
24 Jun 04,10800,1,-200,57.7
24 Jun 04,14400,1,35,53.5
24 Jun 04,18000,1,46,60.9
24 Jun 04,21600,1,54,56.2
24 Jun 04,25200,1,68,57
24 Jun 04,28800,2,77,45.9
24 Jun 04,32400,1,74,40.8
24 Jun 04,36000,2,92,37.4
24 Jun 04,39600,2,83,32.4
24 Jun 04,43200,1,58,30.3
24 Jun 04,46800,1,55,28.9
24 Jun 04,50400,1,61,27.8
24 Jun 04,54000,1,65,23.7
24 Jun 04,57600,1,74,22.4
24 Jun 04,61200,2,89,20.8
24 Jun 04,64800,2,103,23.9
24 Jun 04,68400,3,128,30.8
24 Jun 04,72000,3,122,34.5
24 Jun 04,75600,4,125,38.9
24 Jun 04,79200,3,119,43.2
24 Jun 04,82800,4,126,45.3
25 Jun 04,0,3,100,46
25 Jun 04,3600,2,94,48.1
25 Jun 04,7200,1,52,43.4
25 Jun 04,10800,1,-200,47.4
25 Jun 04,14400,1,64,50.2
25 Jun 04,18000,1,46,50.7
25 Jun 04,21600,2,88,57
25 Jun 04,25200,3,104,51.8
25 Jun 04,28800,3,125,48.7
25 Jun 04,32400,3,151,41
25 Jun 04,36000,2,113,33.2
25 Jun 04,39600,2,102,28
25 Jun 04,43200,2,108,25.6
25 Jun 04,46800,2,93,22.6
25 Jun 04,50400,2,89,20.3
25 Jun 04,54000,2,84,18.8
25 Jun 04,57600,2,111,18.6
25 Jun 04,61200,2,115,15.3
25 Jun 04,64800,3,127,15.5
25 Jun 04,68400,3,129,19.8
25 Jun 04,72000,3,140,22.4
25 Jun 04,75600,3,137,24.7
25 Jun 04,79200,3,130,28.7
25 Jun 04,82800,2,121,31
26 Jun 04,0,1,79,31.2
26 Jun 04,3600,1,69,34.9
26 Jun 04,7200,1,61,37.6
26 Jun 04,10800,1,-200,42.2
26 Jun 04,18000,0,58,42.4
26 Jun 04,21600,1,70,45.8
26 Jun 04,25200,2,104,44.1
26 Jun 04,28800,2,109,39.4
26 Jun 04,32400,2,129,34.3
26 Jun 04,36000,2,144,25.6
26 Jun 04,39600,2,101,18.9
26 Jun 04,43200,1,90,17.5
26 Jun 04,46800,1,86,16
26 Jun 04,50400,1,69,15.8
26 Jun 04,54000,1,65,17.5
26 Jun 04,57600,1,73,20.5
26 Jun 04,61200,1,73,26.4
26 Jun 04,64800,2,78,30.4
26 Jun 04,68400,2,98,33.9
26 Jun 04,72000,2,99,37.8
26 Jun 04,75600,1,83,39.1
26 Jun 04,79200,2,88,40.6
26 Jun 04,82800,3,117,42.5
27 Jun 04,0,2,97,44.8
27 Jun 04,3600,1,75,47.6
27 Jun 04,7200,1,53,47.8
27 Jun 04,10800,1,-200,53.7
27 Jun 04,14400,1,45,52.3
27 Jun 04,18000,0,42,50.3
27 Jun 04,21600,1,44,51.2
27 Jun 04,25200,1,50,50.8
27 Jun 04,28800,1,60,47.6
27 Jun 04,32400,2,100,41.1
27 Jun 04,36000,2,111,32.4
27 Jun 04,39600,2,110,24.8
27 Jun 04,43200,1,74,18.5
27 Jun 04,46800,1,56,15.1
27 Jun 04,50400,1,50,12.8
27 Jun 04,54000,1,54,11.9
27 Jun 04,57600,1,90,14.2
27 Jun 04,61200,2,109,15.5
27 Jun 04,64800,2,110,21.4
27 Jun 04,68400,2,103,26
27 Jun 04,72000,2,120,27.7
27 Jun 04,75600,2,134,30.4
27 Jun 04,79200,2,137,33.6
27 Jun 04,82800,2,99,36.6
28 Jun 04,0,1,78,38.9
28 Jun 04,3600,1,63,40
28 Jun 04,7200,1,41,41.2
28 Jun 04,10800,0,-200,50.1
28 Jun 04,14400,0,39,46.6
28 Jun 04,18000,0,60,46.4
28 Jun 04,21600,1,54,47.1
28 Jun 04,25200,3,119,47.3
28 Jun 04,28800,6,159,43.1
28 Jun 04,32400,5,182,36.8
28 Jun 04,36000,3,183,28
28 Jun 04,39600,2,144,23.4
28 Jun 04,43200,2,118,21.5
28 Jun 04,46800,2,106,19
28 Jun 04,50400,2,97,19.2
28 Jun 04,54000,2,129,20
28 Jun 04,57600,2,130,20.1
28 Jun 04,61200,3,163,19.6
28 Jun 04,64800,3,160,21.9
28 Jun 04,68400,3,140,26.8
28 Jun 04,72000,2,115,30.6
28 Jun 04,75600,2,92,33.9
28 Jun 04,79200,2,99,36.8
28 Jun 04,82800,2,96,38.7
29 Jun 04,0,2,80,40
29 Jun 04,3600,1,65,41.3
29 Jun 04,7200,0,46,41.6
29 Jun 04,10800,0,-200,44.2
29 Jun 04,18000,0,54,45.1
29 Jun 04,21600,1,62,47.6
29 Jun 04,25200,3,102,49.5
29 Jun 04,28800,6,140,43.1
29 Jun 04,32400,3,121,39.8
29 Jun 04,36000,3,132,32.3
29 Jun 04,39600,2,122,27.8
29 Jun 04,43200,3,148,27.4
29 Jun 04,46800,2,133,24.4
29 Jun 04,50400,2,130,25.5
29 Jun 04,54000,2,141,25.6
29 Jun 04,57600,3,172,25
29 Jun 04,61200,4,198,26.9
29 Jun 04,64800,4,181,27.8
29 Jun 04,68400,5,202,31.9
29 Jun 04,72000,3,120,38.4
29 Jun 04,75600,2,115,42.3
29 Jun 04,79200,2,112,45.8
29 Jun 04,82800,2,97,48.1
30 Jun 04,0,2,100,51
30 Jun 04,3600,1,47,52.4
30 Jun 04,7200,1,44,54.9
30 Jun 04,10800,1,-200,51.9
30 Jun 04,14400,0,42,51.8
30 Jun 04,18000,1,57,59.1
30 Jun 04,21600,1,61,53.1
30 Jun 04,25200,2,106,46.4
30 Jun 04,28800,3,136,40.4
30 Jun 04,32400,3,157,37.1
30 Jun 04,36000,3,171,30.7
30 Jun 04,39600,3,190,26.5
30 Jun 04,43200,2,155,27.8
30 Jun 04,46800,2,139,26.9
30 Jun 04,50400,2,152,22.2
30 Jun 04,54000,2,143,22.4
30 Jun 04,57600,2,168,20.4
30 Jun 04,61200,4,226,24.2
30 Jun 04,64800,5,207,38
30 Jun 04,68400,5,197,32.9
30 Jun 04,72000,4,158,33.7
30 Jun 04,75600,2,124,37.6
30 Jun 04,79200,2,110,41
30 Jun 04,82800,3,112,45.2
01 Jul 04,0,2,102,47.4
01 Jul 04,3600,2,77,49.4
01 Jul 04,7200,1,50,49.3
01 Jul 04,10800,1,-200,50.8
01 Jul 04,14400,1,40,54.6
01 Jul 04,18000,1,66,58.6
01 Jul 04,21600,1,60,55.2
01 Jul 04,25200,2,85,54.3
01 Jul 04,28800,4,120,51.2
01 Jul 04,32400,3,134,47.1
01 Jul 04,36000,3,149,39.4
01 Jul 04,39600,2,125,31.8
01 Jul 04,43200,2,132,27.1
01 Jul 04,46800,2,114,26.9
01 Jul 04,50400,2,110,26.3
01 Jul 04,54000,2,121,26.9
01 Jul 04,57600,2,127,22.7
01 Jul 04,61200,3,157,24.7
01 Jul 04,64800,3,169,28.5
01 Jul 04,68400,4,179,30.9
01 Jul 04,72000,3,149,30.4
01 Jul 04,75600,2,111,34.7
01 Jul 04,79200,2,112,39.3
01 Jul 04,82800,2,120,45.1
02 Jul 04,0,2,105,45.3
02 Jul 04,3600,2,90,46.1
02 Jul 04,7200,2,87,47.6
02 Jul 04,10800,1,-200,43
02 Jul 04,18000,0,61,48
02 Jul 04,21600,1,63,50.6
02 Jul 04,25200,3,102,49.7
02 Jul 04,28800,5,149,45.5
02 Jul 04,32400,3,147,40
02 Jul 04,36000,3,158,28.7
02 Jul 04,39600,2,112,27.7
02 Jul 04,43200,2,108,27.2
02 Jul 04,46800,2,120,23.2
02 Jul 04,50400,2,117,20.7
02 Jul 04,54000,2,119,22.6
02 Jul 04,57600,2,149,23
02 Jul 04,61200,2,174,19.3
02 Jul 04,64800,2,163,20.7
02 Jul 04,68400,3,161,18.5
02 Jul 04,72000,3,154,23.8
02 Jul 04,75600,2,124,27.1
02 Jul 04,79200,2,122,31.1
02 Jul 04,82800,2,119,34
03 Jul 04,0,2,131,37.8
03 Jul 04,3600,1,84,37.3
03 Jul 04,7200,1,77,40.6
03 Jul 04,10800,1,-200,46.6
03 Jul 04,14400,0,41,43
03 Jul 04,18000,1,68,50.7
03 Jul 04,21600,1,69,49.3
03 Jul 04,25200,2,101,48
03 Jul 04,28800,2,120,43.9
03 Jul 04,32400,2,124,40.7
03 Jul 04,36000,2,113,31.1
03 Jul 04,39600,1,97,21.3
03 Jul 04,43200,2,94,16
03 Jul 04,46800,1,86,15.2
03 Jul 04,50400,1,70,15.8
03 Jul 04,54000,1,70,15
03 Jul 04,57600,1,82,16.8
03 Jul 04,61200,1,93,17.5
03 Jul 04,64800,1,89,17
03 Jul 04,68400,1,90,20.4
03 Jul 04,72000,1,67,29.6
03 Jul 04,75600,2,94,33.4
03 Jul 04,79200,2,109,35.8
03 Jul 04,82800,2,103,42.7
04 Jul 04,0,2,101,51.9
04 Jul 04,3600,1,71,44.4
04 Jul 04,7200,1,71,51
04 Jul 04,10800,1,-200,52.7
04 Jul 04,14400,1,49,56.8
04 Jul 04,18000,1,43,59.6
04 Jul 04,21600,1,44,56.7
04 Jul 04,25200,1,42,54.6
04 Jul 04,28800,1,69,54.2
04 Jul 04,32400,1,65,49.3
04 Jul 04,36000,1,68,37.7
04 Jul 04,39600,1,58,26.2
04 Jul 04,43200,1,52,22.4
04 Jul 04,46800,1,46,18.8
04 Jul 04,50400,0,40,14.8
04 Jul 04,54000,0,47,14.5
04 Jul 04,57600,1,56,15.6
04 Jul 04,61200,1,64,12.7
04 Jul 04,64800,1,71,13.4
04 Jul 04,68400,2,103,19.7
04 Jul 04,72000,2,97,23.5
04 Jul 04,75600,2,108,28.7
04 Jul 04,79200,1,87,35.7
04 Jul 04,82800,2,104,39.2
05 Jul 04,0,2,93,38.7
05 Jul 04,3600,1,55,35.7
05 Jul 04,7200,0,49,43.2
05 Jul 04,10800,0,-200,46.1
05 Jul 04,18000,0,43,45.7
05 Jul 04,21600,1,57,47.3
05 Jul 04,25200,2,80,44.1
05 Jul 04,28800,4,134,37.9
05 Jul 04,32400,4,157,30.1
05 Jul 04,36000,3,175,23.2
05 Jul 04,39600,2,147,19.1
05 Jul 04,43200,2,140,18
05 Jul 04,46800,2,137,17.3
05 Jul 04,50400,2,123,15.6
05 Jul 04,54000,2,138,14.9
05 Jul 04,57600,2,132,16.1
05 Jul 04,61200,3,174,18.9
05 Jul 04,64800,4,203,19.9
05 Jul 04,68400,4,176,22.9
05 Jul 04,72000,2,125,28.9
05 Jul 04,75600,2,98,32.8
05 Jul 04,79200,2,103,36.8
05 Jul 04,82800,2,104,39.7
06 Jul 04,0,2,105,43
06 Jul 04,3600,1,75,41
06 Jul 04,7200,1,60,48.4
06 Jul 04,10800,1,-200,47.8
06 Jul 04,14400,0,36,46.7
06 Jul 04,18000,1,66,52.3
06 Jul 04,21600,2,97,52.5
06 Jul 04,25200,4,115,49.1
06 Jul 04,28800,5,145,43.3
06 Jul 04,32400,3,162,39.4
06 Jul 04,36000,3,147,32.9
06 Jul 04,39600,2,132,27.2
06 Jul 04,43200,3,179,20.9
06 Jul 04,46800,3,174,16.9
06 Jul 04,50400,2,132,15.8
06 Jul 04,54000,2,151,13.9
06 Jul 04,57600,2,168,13.2
06 Jul 04,61200,4,192,12.6
06 Jul 04,64800,4,194,13.9
06 Jul 04,68400,4,155,17.9
06 Jul 04,72000,4,159,20.6
06 Jul 04,75600,2,125,23.2
06 Jul 04,79200,2,108,25.1
06 Jul 04,82800,2,110,29.9
07 Jul 04,0,2,99,32.6
07 Jul 04,3600,2,95,33.7
07 Jul 04,7200,1,69,33.9
07 Jul 04,10800,0,-200,36
07 Jul 04,14400,0,45,34.6
07 Jul 04,18000,0,53,37.8
07 Jul 04,21600,1,88,39.3
07 Jul 04,25200,4,136,38.4
07 Jul 04,28800,4,141,34.4
07 Jul 04,32400,4,189,28.7
07 Jul 04,36000,2,166,21.1
07 Jul 04,39600,2,154,17
07 Jul 04,43200,2,149,14.5
07 Jul 04,46800,2,142,9.6
07 Jul 04,50400,2,130,10.2
07 Jul 04,54000,2,121,11.6
07 Jul 04,57600,2,116,13
07 Jul 04,61200,3,177,14.5
07 Jul 04,64800,4,233,17.9
07 Jul 04,68400,5,223,20.4
07 Jul 04,72000,4,184,22.6
07 Jul 04,75600,4,165,27.8
07 Jul 04,79200,2,132,29.3
07 Jul 04,82800,2,122,30.9
08 Jul 04,0,1,88,30.2
08 Jul 04,3600,1,79,32.5
08 Jul 04,7200,1,60,34
08 Jul 04,10800,0,-200,35.3
08 Jul 04,18000,1,74,38.8
08 Jul 04,21600,1,62,34.6
08 Jul 04,25200,2,115,37.4
08 Jul 04,28800,3,119,32.5
08 Jul 04,32400,3,155,32.7
08 Jul 04,36000,3,162,33.1
08 Jul 04,39600,3,189,26.8
08 Jul 04,43200,1,115,15.8
08 Jul 04,46800,1,109,15
08 Jul 04,50400,1,108,15.7
08 Jul 04,54000,2,145,14.8
08 Jul 04,57600,2,167,14.6
08 Jul 04,61200,3,200,16.9
08 Jul 04,64800,4,178,27.3
08 Jul 04,68400,5,206,29.2
08 Jul 04,72000,4,192,26.4
08 Jul 04,75600,3,137,27.6
08 Jul 04,79200,3,128,29.7
08 Jul 04,82800,3,121,35.6
09 Jul 04,0,3,136,34.8
09 Jul 04,3600,2,109,41.9
09 Jul 04,7200,1,74,41.6
09 Jul 04,10800,0,-200,43.7
09 Jul 04,14400,0,40,42.2
09 Jul 04,18000,1,61,42.8
09 Jul 04,21600,1,83,40.3
09 Jul 04,25200,3,129,37.2
09 Jul 04,28800,3,-200,35.3
09 Jul 04,32400,2,115,32
09 Jul 04,36000,2,130,24.7
09 Jul 04,39600,2,137,20.1
09 Jul 04,43200,2,116,18.4
09 Jul 04,46800,2,129,19.3
09 Jul 04,50400,1,117,19.6
09 Jul 04,54000,2,138,20.4
09 Jul 04,57600,2,139,19.1
09 Jul 04,61200,2,180,17.1
09 Jul 04,64800,2,162,17.1
09 Jul 04,68400,3,158,24.9
09 Jul 04,72000,3,162,30.2
09 Jul 04,75600,2,112,36.8
09 Jul 04,79200,2,104,43.4
09 Jul 04,82800,2,125,46.2
10 Jul 04,0,2,127,47.7
10 Jul 04,3600,2,95,49.5
10 Jul 04,7200,1,70,51.9
10 Jul 04,10800,0,-200,50.4
10 Jul 04,14400,0,33,49.7
10 Jul 04,18000,0,45,52
10 Jul 04,21600,0,56,53.2
10 Jul 04,25200,1,74,51
10 Jul 04,28800,1,84,41.6
10 Jul 04,32400,1,93,36.4
10 Jul 04,36000,1,97,29.7
10 Jul 04,39600,1,83,23.4
10 Jul 04,43200,1,71,20.5
10 Jul 04,46800,1,78,19.2
